,Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
34,35,4,83,2020-07-31--2020-08-07,Watermelon Sugar,"11,996,689",Harry Styles,16112621,6UelLqGlWMcVH1E5c4H7lY,"['pop', 'post-teen pop']",2019-12-13,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",90,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000,0.557,C
35,36,36,1,2021-07-23--2021-07-30,NOT SOBER (feat. Polo G & Stunna Gambino),"11,869,336",The Kid LAROI, , , , ,2021-07-23--2021-07-30, , , , , , , , , , , 
36,37,3,16,2021-04-16--2021-04-23,RAPSTAR,"11,683,383",Polo G,4840346,43PGPuHIlVOc04jrZVh9L6,['chicago rap'],2021-04-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",89,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,165926,0.437,F#/Gb
37,38,15,5,2021-06-25--2021-07-02,You Right,"11,629,418","Doja Cat, The Weeknd",8640063,0k4d5YPDr1r7FX77VdqWez,"['dance pop', 'pop']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",89,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173,0.436,G#/Ab
38,39,39,3,2021-07-23--2021-07-30,911 - Remix,"11,553,846","Sech, Jhay Cortez",8758283,27RSJHEA99Y0Vsow7nA37A,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",89,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631,0.784,G
39,40,1,39,2021-01-01--2021-01-08,DÁKITI,"11,524,288","Bad Bunny, Jhay Cortez",36142273,4MzXwWMhyBbmu6hOcLVD49,"['latin', 'reggaeton', 'trap latino']",2020-11-27,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06",86,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,205090,0.145,E
40,41,41,13,2021-07-23--2021-07-30,Miénteme,"11,477,024","TINI, Maria Becerra",2936204,0cOa970mzTWAxKtltpkpLc,"['latin pop', 'pop argentino']",2021-04-29,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07",90,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,165275,0.916,D
41,42,17,10,2021-05-21--2021-05-28,"jealousy, jealousy","11,287,301",Olivia Rodrigo,6266514,0MMyJUC3WNnFS1lit5pTjk,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",90,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160,0.699,A#/Bb
42,43,33,6,2021-07-02--2021-07-09,Poblado - Remix,"11,283,626","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363,1WedZeiezCmCEOzLwhx0hV,"['latin', 'reggaeton', 'reggaeton colombiano']",2021-06-18,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25",89,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280,0.646,D#/Eb
43,44,2,49,2020-11-20--2020-11-27,Dynamite,"11,196,819",BTS,37106176,4saklk6nie3yiGePpBwUoc,"['k-pop', 'k-pop boy group']",2020-11-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28",89,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054,0.737,F#/Gb
44,45,9,39,2021-02-26--2021-03-05,The Business,"10,739,770",Tiësto,5785065,6f3Slt0GbA2bPZlz0aIFXN,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",2020-09-16,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06",90,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000,0.235,G#/Ab
45,46,46,10,2021-07-23--2021-07-30,Heartbreak Anthem (with David Guetta & Little Mix),"10,315,460",Galantis,3120157,5K6Ssv4Z3zRvxt0P6EKUAP,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",2021-05-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",89,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726,0.479,C#/Db
46,47,1,51,2020-10-16--2020-10-23,Mood (feat. iann dior),"10,222,056",24kGoldn,1274433,4jPy3l0RUwlUI9T5XHBW2m,['cali rap'],2021-03-26,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14",89,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533,0.732,G
47,48,48,3,2021-07-23--2021-07-30,Entre Nosotros,"10,215,216","Tiago PZK, LIT killah",375865,6w8yBI2vthyN9UnwO4UBWb,['trap argentino'],2021-07-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",89,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353,0.789,F
48,49,29,6,2021-06-25--2021-07-02,Fiel - Remix,"10,032,746","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,43qcs9NpJhDxtG91zxFkj7,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2021-06-15,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25",89,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547,0.573,F#/Gb
49,50,20,11,2021-06-04--2021-06-11,Build a Bitch,"9,841,998",Bella Poarch,389076,7BoobGhD4x5K96Me0hqC8Q,[],2021-05-14,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",89,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,122773,0.866,D#/Eb
50,51,19,4,2021-07-02--2021-07-09,"Nicky Jam: Bzrp Music Sessions, Vol. 41","9,799,701","Bizarrap, Nicky Jam",3126961,03LfOYi0icz4souspZVVhq,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",2021-06-30,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09",88,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087,0.818,C#/Db
51,52,52,4,2021-07-23--2021-07-30,Tiroteo - Remix,"9,781,153","Marc Seguí, Rauw Alejandro, Pol Granch",45362,4OwhwvKESFtuu06dTgct7i,[],2021-04-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09",88,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,321556,0.601,A
52,53,19,3,2021-07-09--2021-07-16,NDA,"9,635,619",Billie Eilish,47014200,38GBNKZUhfBkk3oNlWzRYd,"['electropop', 'pop']",2021-07-30,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",84,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777,0.554,G#/Ab
53,54,40,14,2021-06-18--2021-06-25,Rasputin,"9,600,707","Majestic, Boney M.",32178,6FO4K7MrMoYkc5BlpX5LNV,"['house', 'pop dance', 'uk dance']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",49,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,345543,0.59,F#/Gb
54,55,52,9,2021-07-02--2021-07-09,Leave Before You Love Me (with Jonas Brothers),"9,428,494",Marshmello,31541310,4qu63nuBpdn0qHUHuObEj1,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04",89,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983,0.637,G
55,56,56,13,2021-07-23--2021-07-30,Freaks,"9,319,465",Surf Curse,495226,7EkWXAI1wn8Ii883ecd9xr,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",2021-05-15,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07",89,0.345,0.941,-9.918,0.0466,3.84e-05,0.0511,179.626,147062,0.407,A
56,57,57,5,2021-07-23--2021-07-30,Meu Pedaço de Pecado,"9,206,366",João Gomes,409173,2kJRlOyrxsy7Ot3c5TZ8Q6,[],2021-06-01,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",83,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,157176,0.907,B
57,58,31,12,2021-06-04--2021-06-11,2/Catorce,"9,086,979","Rauw Alejandro, Mr. Naisgai",6080597,71R8HJxQk5qMiRstrlXN9t,"['puerto rican pop', 'trap latino']",2021-02-14,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14",87,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032,0.432,D#/Eb
